order_id,customer_id,store_id,order_date,payment_method,status
ORD000001,C00023,ST002,09/07/2026 09:08:54,cod,pending
ORD000002,C00013,ST007,2026-07-09 09:27:02,e-wallet,pending
ORD000003,C00031,ST003,2026-07-09 09:13:11,qris,pending
ORD000004,C00032,ST006,2026-07-09 09:16:24,qris,completed
ORD000005,C00033,ST002,2026-07-09 08:56:42,e-wallet,pending
ORD000006,C00032,ST004,2026-07-09 09:04:56,credit_card,completed
ORD000007,C00014,ST005,2026-07-09 09:00:44,bank_transfer,pending
ORD000008,C00032,ST006,09/07/2026 08:47:03,cod,completed
ORD000009,C00004,ST007,09/07/2026 09:33:01,bank_transfer,pending
ORD000010,C00018,ST003,09/07/2026 09:05:15,cod,pending
ORD000011,C00014,ST001,09/07/2026 09:03:00,cod,completed
ORD000012,C00019,ST004,2026-07-09 08:52:48,credit_card,pending
ORD000013,C00003,ST006,09/07/2026 09:13:55,cod,pending
ORD000004,C00032,ST006,2026-07-09 09:16:24,qris,completed
ORD000006,C00032,ST004,2026-07-09 09:04:56,credit_card,completed
ORD000008,C00032,ST006,09/07/2026 08:47:03,cod,completed
ORD000011,C00014,ST001,09/07/2026 09:03:00,cod,completed
