order_id,customer_id,store_id,order_date,payment_method,status
ORD000001,C00023,ST002,09/07/2026 08:24:44,cod,pending
ORD000002,C00013,ST007,2026-07-09 08:42:52,e-wallet,pending
ORD000003,C00031,ST003,2026-07-09 08:29:01,qris,pending
ORD000004,C00032,ST006,2026-07-09 08:32:14,qris,completed
ORD000005,C00033,ST002,2026-07-09 08:12:32,e-wallet,pending
ORD000006,C00032,ST004,2026-07-09 08:20:46,credit_card,completed
ORD000007,C00014,ST005,2026-07-09 08:16:34,bank_transfer,pending
ORD000008,C00032,ST006,09/07/2026 08:02:53,cod,completed
ORD000009,C00004,ST007,09/07/2026 08:48:51,bank_transfer,pending
ORD000010,C00018,ST003,09/07/2026 08:21:05,cod,pending
ORD000011,C00014,ST001,09/07/2026 08:18:50,cod,completed
ORD000012,C00019,ST004,2026-07-09 08:08:38,credit_card,pending
ORD000013,C00003,ST006,09/07/2026 08:29:45,cod,pending
ORD000004,C00032,ST006,2026-07-09 08:32:14,qris,completed
ORD000006,C00032,ST004,2026-07-09 08:20:46,credit_card,completed
ORD000008,C00032,ST006,09/07/2026 08:02:53,cod,completed
ORD000011,C00014,ST001,09/07/2026 08:18:50,cod,completed
