order_id,customer_id,store_id,order_date,payment_method,status
ORD000001,C00026,ST004,2026-07-10 07:41:02,e-wallet,pending
ORD000002,C00004,ST004,2026-07-10 07:57:01,credit_card,completed
ORD000003,C00031,ST003,2026-07-10 08:01:18,e-wallet,completed
ORD000004,C00017,ST006,10/07/2026 08:06:53,bank_transfer,completed
ORD000005,C00020,ST005,2026-07-10 08:12:55,qris,pending
ORD000006,C00007,ST006,2026-07-10 07:53:21,bank_transfer,completed
ORD000007,C00008,ST006,2026-07-10 08:28:53,qris,pending
ORD000008,C00010,ST005,2026-07-10 07:51:56,qris,completed
ORD000009,C00030,ST004,2026-07-10 08:24:18,bank_transfer,pending
ORD000002,C00004,ST004,2026-07-10 07:57:01,credit_card,completed
ORD000003,C00031,ST003,2026-07-10 08:01:18,e-wallet,completed
ORD000004,C00017,ST006,10/07/2026 08:06:53,bank_transfer,completed
ORD000006,C00007,ST006,2026-07-10 07:53:21,bank_transfer,completed
ORD000008,C00010,ST005,2026-07-10 07:51:56,qris,completed
